Time,bitfinex,bitstamp,cex.io,coinbase,gemini,hitbtc,itbit,kraken,therocktrading,min,max,lower,bigger
2017-11-20 14:00:00,8225.570605612429,8186.808052568679,8197.54193202525,8218.67881164737,8212.58529378846,8219.85444897957,8198.122196969709,8166.52352941175,8182.42736842105,8166.52352941175,8225.570605612429,kraken,bitfinex
2017-11-20 15:00:00,8217.18258918369,8195.62298804781,8216.066282479609,8220.610332091908,8220.79695079085,8218.732455830379,8187.010205761309,8182.839099526079,8295.80166666667,8182.839099526079,8295.80166666667,kraken,therocktrading
2017-11-20 16:00:00,8233.21018211923,8221.81992307692,8250.33045814197,8239.0442991387,8249.29365726228,8231.487159209159,8210.599660493821,8212.01395730708,8220.61666666667,8210.599660493821,8250.33045814197,itbit,cex.io
2017-11-20 17:00:00,8266.42930702596,8239.75508244423,8245.883909657321,8270.09741168918,8274.463093349592,8274.255684774309,8224.34719444445,8248.342270762041,8239.462,8224.34719444445,8274.463093349592,itbit,gemini
2017-11-20 18:00:00,8220.87956085664,8205.243627639169,8232.93926486989,8236.730854609079,8225.02920108332,8227.95935762815,8206.380909090909,8207.18844084084,8221.8225,8205.243627639169,8236.730854609079,bitstamp,coinbase
2017-11-20 19:00:00,8230.382049629408,8217.20290562035,8248.80563362177,8224.805101663871,8225.53439632547,8233.683436586809,8197.952,8188.369178082191,8233.86666666667,8188.369178082191,8248.80563362177,kraken,cex.io
2017-11-20 20:00:00,8216.975511661121,8199.96193192273,8238.89896108275,8216.71617561254,8210.07815192742,8230.11633633636,8198.09622047244,8199.51824440619,,8198.09622047244,8238.89896108275,itbit,cex.io
2017-11-20 21:00:00,8250.381065280892,8208.776005484458,8251.88296168032,8251.55791288564,8241.88668012923,8251.807525450291,8220.92570370369,8214.66134301271,8250.23375,8208.776005484458,8251.88296168032,bitstamp,cex.io
2017-11-20 22:00:00,8274.52898055698,8237.50371183207,8266.225395314781,8269.7252905875,8264.38973791973,8281.288830682879,8245.70591549295,8230.78525896414,8263.460909090909,8230.78525896414,8281.288830682879,kraken,hitbtc
2017-11-20 23:00:00,8282.71999020097,8244.76758085382,8285.07134550841,8282.221481146371,8285.427683941129,8270.704111063249,8259.502,8234.11030405404,,8234.11030405404,8285.427683941129,kraken,gemini
2017-11-21 00:00:00,8247.7031112199,8207.87876923077,8257.0026305691,8257.98818546905,8256.10222459894,8255.66563287344,8239.64472527472,8206.41533052039,8224.57,8206.41533052039,8257.98818546905,kraken,coinbase
2017-11-21 01:00:00,8268.03149823052,8215.32045161292,8266.60020114069,8265.530842433709,8266.3593596059,8274.95896882494,8253.14405940594,8222.94121093749,,8215.32045161292,8274.95896882494,bitstamp,hitbtc
2017-11-21 02:00:00,8151.905450333829,8100.333514124259,8186.268704615391,8168.51005202405,8152.58643174598,8177.838005684541,8139.8378600823,8139.58500000001,8146.57416666667,8100.333514124259,8186.268704615391,bitstamp,cex.io
2017-11-21 03:00:00,7941.842414111321,7896.2050667009,8056.592858411221,7960.08129838712,7948.005510835859,7944.40352968247,7952.159856850709,7980.50909114415,7928.238,7896.2050667009,8056.592858411221,bitstamp,cex.io
2017-11-21 04:00:00,7912.378672884771,7884.39548897213,8050.1019044308805,7923.08695181636,7921.015210400291,7924.17148212728,7904.17386292835,7900.87678883073,7870.8607692307705,7870.8607692307705,8050.1019044308805,therocktrading,cex.io
2017-11-21 05:00:00,7991.00119803692,7972.65965156792,8120.27849549869,8000.74768711428,7985.09139482562,7984.5177006369495,7970.72275641025,7959.813926940649,7905.872857142859,7905.872857142859,8120.27849549869,therocktrading,cex.io
2017-11-21 06:00:00,8096.217565698509,8073.97001626014,8187.411761140441,8104.570255999921,8102.488293370941,8092.35381857683,8092.245053763441,8098.614854290429,8047.93,8047.93,8187.411761140441,therocktrading,cex.io
2017-11-21 07:00:00,8128.842155425229,8080.36061831155,8198.13376780302,8122.710327809879,8120.50985102422,8116.1020584498,8101.041888888891,8109.5335078534,8096.125,8080.36061831155,8198.13376780302,bitstamp,cex.io
2017-11-21 08:00:00,8201.0681950703,8169.85791632485,8244.35474786932,8197.90953412476,8190.096600496279,8188.84554347827,8194.52019417475,8179.835873605959,8184.31,8169.85791632485,8244.35474786932,bitstamp,cex.io
2017-11-21 09:00:00,8180.63884866037,8172.0530179641,8240.43100963856,8192.92680969215,8184.560730158729,8173.43925538864,8184.013571428571,8160.106614785991,8172.86,8160.106614785991,8240.43100963856,kraken,cex.io
2017-11-21 10:00:00,8192.81396195872,8176.9881061693,8235.957020588241,8203.726232476529,8191.336730769241,8168.50063264221,8189.90769230769,8181.797966101691,8191.037142857141,8168.50063264221,8235.957020588241,hitbtc,cex.io
2017-11-21 11:00:00,8202.28275862072,8185.10506200677,8235.08141273713,8206.592267546519,8200.20236040609,8177.236943366959,8197.48230769231,8182.0012295082,8202.22333333333,8177.236943366959,8235.08141273713,hitbtc,cex.io
2017-11-21 12:00:00,8237.68099796919,8222.655293569442,8246.7698935065,8239.45950495051,8230.64166666668,8213.09990788721,8236.77714285715,8210.98738601822,,8210.98738601822,8246.7698935065,kraken,cex.io
2017-11-21 13:00:00,8226.52229658332,8215.57423841058,8250.36159333333,8231.46862765405,8224.622245145649,8221.386554993709,8226.64275862069,8200.095601173001,,8200.095601173001,8250.36159333333,kraken,cex.io
2017-11-21 14:00:00,8297.140458608628,8287.95255937952,8287.37643532732,8274.726253171759,8263.204727157421,8257.8960287511,8291.7535483871,8230.130635118321,8213.895,8213.895,8297.140458608628,therocktrading,bitfinex
2017-11-21 15:00:00,8351.18718749997,8326.42626751592,8346.44722015079,8345.38288461557,8336.244843897808,8316.512978488721,8334.434322916659,8327.08901098901,8311.86,8311.86,8351.18718749997,therocktrading,bitfinex
2017-11-21 16:00:00,8315.307151288709,8308.96568847655,8311.3491023302,8315.46011170348,8311.46354385967,8298.23635055943,8305.9715037594,8320.44512982003,8317.97,8298.23635055943,8320.44512982003,hitbtc,kraken
2017-11-21 17:00:00,8300.396752733059,8296.74208628007,8295.47741028332,8306.17078254592,8299.603464955559,8290.44230337077,8295.87750000001,8293.94127516778,8225.302,8225.302,8306.17078254592,therocktrading,coinbase
2017-11-21 18:00:00,8274.25214311962,8277.75531784005,8293.22396501182,8292.476314127769,8291.21035714284,8282.18700394215,8296.50112359551,8271.674770892021,8270.365,8270.365,8296.50112359551,therocktrading,itbit
2017-11-21 19:00:00,8184.314427499449,8135.5242783339,8195.90159015746,8183.724157047371,8146.376902833979,8147.421813186809,8117.526401273891,8192.66870294116,8188.365,8117.526401273891,8195.90159015746,itbit,cex.io
2017-11-21 20:00:00,8163.88523047978,8140.32335076251,8221.55500301372,8164.25175664462,8157.39529192542,8145.7324227318095,8123.207865853659,8138.2723071847595,8087.55,8087.55,8221.55500301372,therocktrading,cex.io
2017-11-21 21:00:00,8179.237609774,8178.860551558741,8246.63495520446,8214.83188271612,8205.146775976451,8177.14881481484,8171.01595238095,8189.5153508772,,8171.01595238095,8246.63495520446,itbit,cex.io
2017-11-21 22:00:00,8056.8795256631,8043.26759008134,8184.98507268683,8081.46510822509,8081.40421680754,8079.31684922247,8063.211302931601,8098.27175036285,8000.00333333333,8000.00333333333,8184.98507268683,therocktrading,cex.io
2017-11-21 23:00:00,8070.48915734011,8062.38805982558,8197.16854646614,8095.00050467297,8085.53792478173,8066.74983717774,8065.711737089209,8083.205029411759,8000.058888888891,8000.058888888891,8197.16854646614,therocktrading,cex.io
2017-11-22 00:00:00,8136.468579295459,8117.82832363212,8212.62178561645,8156.725570776291,8159.24838877341,8133.57837307155,8113.623872549019,8144.81730337078,8067.135,8067.135,8212.62178561645,therocktrading,cex.io
2017-11-22 01:00:00,8109.32162871343,8109.80893656718,8208.48303682984,8139.4073357371,8138.615964285691,8119.521017094009,8103.427989417991,8131.985201793729,8079.365555555559,8079.365555555559,8208.48303682984,therocktrading,cex.io
2017-11-22 02:00:00,8141.34490130925,8145.68148430066,8253.76827312139,8163.4317843289,8165.276469622329,8149.08990325422,8106.812277227719,8172.330490018141,8157.99333333333,8106.812277227719,8253.76827312139,itbit,cex.io
2017-11-22 03:00:00,8155.643071080391,8155.5914221824705,8250.63826313365,8184.037796407191,8179.70929203542,8162.39780773742,8109.68843373494,8177.381463414641,8117.978888888891,8109.68843373494,8250.63826313365,itbit,cex.io
2017-11-22 04:00:00,8138.61507382687,8129.04459841129,8242.99998955823,8162.1461692126,8156.5891970803,8154.43470520229,8102.8297761194,8148.89019125,8097.77363636364,8097.77363636364,8242.99998955823,therocktrading,cex.io
2017-11-22 05:00:00,8153.51343128433,8137.993498498509,8247.51039763158,8171.870917553109,8161.50472826087,8164.201040391679,8109.982986111109,8171.877900552479,8164.57,8109.982986111109,8247.51039763158,itbit,cex.io
2017-11-22 06:00:00,8148.9976149781205,8142.549682274259,8261.52985693069,8183.83418858562,8182.6698841059415,8170.19623157898,8109.99857142857,8168.23108108107,8158.79,8109.99857142857,8261.52985693069,itbit,cex.io
